timestamp,building_id,energy_type,value,unit,floor_number
2017-01-01 00:00:00,B1,electricity,264.0,kWh,
2017-01-01 01:00:00,B1,electricity,238.0,kWh,
2017-01-01 02:00:00,B1,electricity,242.0,kWh,
2017-01-01 03:00:00,B1,electricity,246.0,kWh,
2017-01-01 04:00:00,B1,electricity,240.0,kWh,
2017-01-01 05:00:00,B1,electricity,240.0,kWh,
2017-01-01 06:00:00,B1,electricity,244.0,kWh,
2017-01-01 07:00:00,B1,electricity,244.0,kWh,
2017-01-01 08:00:00,B1,electricity,268.0,kWh,
2017-01-01 09:00:00,B1,electricity,340.0,kWh,
2017-01-01 10:00:00,B1,electricity,338.0,kWh,
2017-01-01 11:00:00,B1,electricity,344.0,kWh,
2017-01-01 12:00:00,B1,electricity,300.0,kWh,
2017-01-01 13:00:00,B1,electricity,248.0,kWh,
2017-01-01 14:00:00,B1,electricity,290.0,kWh,
2017-01-01 15:00:00,B1,electricity,402.0,kWh,
2017-01-01 16:00:00,B1,electricity,340.0,kWh,
2017-01-01 17:00:00,B1,electricity,298.0,kWh,
2017-01-01 18:00:00,B1,electricity,298.0,kWh,
2017-01-01 19:00:00,B1,electricity,298.0,kWh,
2017-01-01 20:00:00,B1,electricity,300.0,kWh,
2017-01-01 21:00:00,B1,electricity,304.0,kWh,
2017-01-01 22:00:00,B1,electricity,298.0,kWh,
2017-01-01 23:00:00,B1,electricity,298.0,kWh,
2017-01-01 00:00:00,B2,electricity,85.5,kWh,
2017-01-01 01:00:00,B2,electricity,89.0,kWh,
2017-01-01 02:00:00,B2,electricity,89.0,kWh,
2017-01-01 03:00:00,B2,electricity,88.0,kWh,
2017-01-01 04:00:00,B2,electricity,88.5,kWh,
2017-01-01 05:00:00,B2,electricity,87.5,kWh,
2017-01-01 06:00:00,B2,electricity,83.5,kWh,
2017-01-01 07:00:00,B2,electricity,85.5,kWh,
2017-01-01 08:00:00,B2,electricity,78.0,kWh,
2017-01-01 09:00:00,B2,electricity,77.5,kWh,
2017-01-01 10:00:00,B2,electricity,76.5,kWh,
2017-01-01 11:00:00,B2,electricity,76.5,kWh,
2017-01-01 12:00:00,B2,electricity,73.0,kWh,
2017-01-01 13:00:00,B2,electricity,75.0,kWh,
2017-01-01 14:00:00,B2,electricity,73.0,kWh,
2017-01-01 15:00:00,B2,electricity,73.5,kWh,
2017-01-01 16:00:00,B2,electricity,75.0,kWh,
2017-01-01 17:00:00,B2,electricity,90.0,kWh,
2017-01-01 18:00:00,B2,electricity,83.5,kWh,
2017-01-01 19:00:00,B2,electricity,85.0,kWh,
2017-01-01 20:00:00,B2,electricity,83.5,kWh,
2017-01-01 21:00:00,B2,electricity,84.0,kWh,
2017-01-01 22:00:00,B2,electricity,83.5,kWh,
2017-01-01 23:00:00,B2,electricity,82.0,kWh,
2017-01-01 00:00:00,B2,hotwater,292.9,kWh,
2017-01-01 01:00:00,B2,hotwater,292.9,kWh,
2017-01-01 02:00:00,B2,hotwater,292.9,kWh,
2017-01-01 03:00:00,B2,hotwater,293.5,kWh,
2017-01-01 04:00:00,B2,hotwater,292.9,kWh,
2017-01-01 05:00:00,B2,hotwater,292.9,kWh,
2017-01-01 06:00:00,B2,hotwater,234.68,kWh,
2017-01-01 07:00:00,B2,hotwater,292.9,kWh,
2017-01-01 08:00:00,B2,hotwater,351.72,kWh,
2017-01-01 09:00:00,B2,hotwater,234.68,kWh,
2017-01-01 10:00:00,B2,hotwater,292.9,kWh,
2017-01-01 11:00:00,B2,hotwater,175.86,kWh,
2017-01-01 12:00:00,B2,hotwater,175.86,kWh,
2017-01-01 13:00:00,B2,hotwater,175.86,kWh,
2017-01-01 14:00:00,B2,hotwater,175.86,kWh,
2017-01-01 15:00:00,B2,hotwater,292.9,kWh,
2017-01-01 16:00:00,B2,hotwater,293.5,kWh,
2017-01-01 17:00:00,B2,hotwater,292.9,kWh,
2017-01-01 18:00:00,B2,hotwater,292.9,kWh,
2017-01-01 19:00:00,B2,hotwater,292.9,kWh,
2017-01-01 20:00:00,B2,hotwater,234.68,kWh,
2017-01-01 21:00:00,B2,hotwater,292.9,kWh,
2017-01-01 22:00:00,B2,hotwater,234.68,kWh,
2017-01-01 23:00:00,B2,hotwater,292.9,kWh,
